Class,_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope
relax,0.125,0.546,5.938,70.815,1.699,0.753,1.068,-0.09,0.157,-0.092,-0.205,-0.186,-0.114,-0.146,0.149,0.189,0.149,544.329,0.092
relax,0.06,0.542,7.76,130.518,1.973,0.801,0.712,0.453,0.415,0.689,-0.056,-0.012,0.074,0.006,0.212,-0.216,-0.146,116.828,0.151
relax,0.102,0.532,5.944,98.804,4.464,0.357,0.068,-0.674,-0.3,-0.094,0.32,0.532,0.365,-0.022,-0.011,0.145,0.269,233.113,-0.133
relax,0.198,0.593,6.184,146.344,4.103,0.347,0.59,0.205,0.162,0.654,-0.187,0.636,-0.074,-0.045,-0.315,0.178,-0.075,654.388,0.363
relax,0.075,0.487,7.976,101.482,3.494,-0.271,1.39,0.329,0.23,-0.133,-0.14,0.08,0.077,0.078,-0.288,-0.334,-0.145,59.36,0.26
relax,0.184,0.589,8.807,103.952,2.284,0.644,0.599,0.007,0.344,0.093,0.325,0.105,0.069,0.036,-0.028,0.256,0.077,800.582,-0.014
relax,0.097,0.542,10.02,134.029,3.361,1.153,0.726,-0.087,0.448,0.179,0.183,0.299,-0.07,0.137,0.051,0.228,0.201,138.715,-0.023
relax,0.068,0.613,6.287,176.032,2.718,1.937,0.77,0.323,0.658,-0.128,0.344,-0.001,-0.063,-0.006,-0.177,0.043,0.122,51.382,0.3
relax,0.127,0.508,9.588,179.476,3.067,0.174,0.157,0.522,0.508,-0.091,0.078,-0.177,-0.112,0.142,0.284,0.24,0.132,373.142,0.387
relax,0.135,0.552,8.34,93.954,3.861,0.538,0.627,0.259,0.033,0.181,0.08,-0.273,-0.302,-0.029,-0.014,-0.081,0.068,186.8,-0.006
relax,0.1,0.548,5.388,164.528,3.062,0.901,0.978,0.469,0.247,0.144,0.19,0.2,0.152,0.09,-0.002,0.045,0.123,233.732,-0.03
relax,0.12,0.527,7.724,130.318,4.844,0.203,0.907,0.064,0.107,-0.192,0.049,0.077,0.286,0.086,-0.045,0.207,0.072,363.099,0.39
relax,0.155,0.66,6.354,77.051,2.537,-0.063,0.604,0.24,0.367,0.034,0.061,-0.043,-0.004,0.139,0.121,0.067,-0.017,335.184,0.033
relax,0.123,0.515,6.565,168.286,1.946,1.365,0.614,0.438,0.066,0.132,0.079,0.236,0.019,0.166,0.103,0.019,-0.131,430.145,0.358
relax,0.139,0.532,9.537,80.208,2.548,0.787,0.287,-0.239,-0.142,-0.18,0.068,0.299,0.218,0.246,-0.076,-0.148,-0.024,327.001,0.123
relax,0.098,0.529,9.942,96.391,2.626,0.425,-0.029,0.26,0.451,0.232,-0.287,-0.022,-0.213,0.311,0.123,-0.204,0.209,166.456,0.194
relax,0.055,0.662,10.837,69.775,1.97,0.26,0.053,0.537,0.591,0.467,-0.017,-0.054,0.272,-0.007,0.012,-0.176,-0.21,20.982,0.089
relax,0.06,0.537,6.921,116.1,4.641,0.319,0.702,0.248,0.406,0.052,0.256,0.113,-0.084,-0.013,-0.196,-0.035,0.214,91.262,-0.141
relax,0.186,0.564,5.879,101.341,2.16,0.656,0.76,0.27,0.3,-0.113,0.023,0.124,0.097,0.027,0.083,0.089,-0.03,918.3,0.16
relax,0.129,0.593,6.686,55.319,2.524,0.04,0.119,0.277,0.135,0.219,-0.034,0.213,0.227,-0.123,0.037,0.044,0.129,466.864,0.264
relax,0.102,0.534,8.958,93.376,1.893,0.726,0.988,0.238,0.186,-0.093,0.277,-0.114,-0.07,-0.09,0.043,0.038,-0.014,244.724,0.34
relax,0.134,0.553,9.297,76.74,2.344,-0.081,0.322,-0.003,-0.143,-0.234,0.245,-0.05,-0.133,-0.221,-0.238,-0.218,-0.128,336.35,0.015
relax,0.083,0.543,6.055,179.056,3.316,-0.212,0.312,-0.401,0.175,0.165,-0.042,-0.194,-0.306,-0.107,0.343,0.163,0.039,154.327,0.426
relax,0.177,0.549,7.448,120.741,3.501,0.07,0.271,-0.038,0.212,-0.041,-0.05,0.221,-0.008,0.244,0.113,0.136,0.119,481.229,0.292
relax,0.085,0.607,8.487,144.257,2.057,0.599,-0.218,-0.526,0.472,0.469,-0.092,0.254,0.038,0.165,-0.132,-0.347,-0.157,186.367,0.15
relax,0.124,0.463,6.072,67.702,3.43,-0.659,-0.067,0.122,0.388,0.31,0.362,0.476,0.228,0.019,-0.02,-0.058,-0.131,267.331,-0.096
relax,0.109,0.575,6.613,188.335,3.106,1.411,0.285,0.308,0.102,-0.322,-0.196,-0.375,-0.286,-0.393,0.046,0.131,0.176,101.672,0.105
relax,0.158,0.51,6.03,74.154,2.601,-0.06,0.27,0.207,0.368,0.121,0.341,-0.154,0.125,0.022,0.043,0.108,-0.054,331.031,0.067
relax,0.22,0.584,7.913,90.285,2.069,0.68,0.499,0.227,0.347,0.009,0.041,0.108,0.003,0.016,0.094,0.194,0.038,1038.096,0.135
relax,0.136,0.434,5.593,100.959,3.131,-1.088,0.427,-0.051,-0.272,-0.022,-0.162,0.026,0.115,0.135,0.323,0.197,0.108,425.328,0.574
relax,0.136,0.434,5.593,100.959,3.131,-1.088,0.427,-0.051,-0.272,-0.022,-0.162,0.026,0.115,0.135,0.323,0.197,0.108,425.328,0.574
relax,0.077,0.637,9.556,83.788,2.888,-0.216,0.603,-0.018,0.185,0.047,-0.347,0.156,0.279,0.141,0.044,-0.17,0.065,66.71,0.178
relax,0.093,0.543,10.126,182.092,2.581,1.037,0.571,-0.187,0.137,-0.193,0.069,-0.431,-0.083,-0.054,0.122,0.153,0.25,174.574,0.446
relax,0.11,0.559,7.238,58.63,2.695,0.234,0.292,0.093,0.229,-0.041,0.005,0.088,0.179,-0.089,-0.179,-0.418,-0.302,247.823,0.318
relax,0.128,0.556,8.56,92.829,2.431,0.757,0.704,-0.127,0.119,-0.292,-0.038,0.028,-0.142,-0.195,0.051,-0.101,-0.058,250.215,0.309
relax,0.066,0.524,6.382,130.709,3.171,-0.282,-0.065,-0.23,-0.026,0.288,0.477,0.223,-0.093,-0.173,-0.138,-0.124,-0.043,75.209,0.216
relax,0.059,0.585,15.541,103.953,5.161,0.483,0.276,0.262,-0.173,-0.004,-0.097,-0.081,0.18,0.211,0.127,0.044,-0.212,47.839,-0.28
relax,0.059,0.585,15.541,103.953,5.161,0.483,0.276,0.262,-0.173,-0.004,-0.097,-0.081,0.18,0.211,0.127,0.044,-0.212,47.839,-0.28
relax,0.167,0.63,8.212,54.967,2.97,1.294,0.585,0.262,0.133,-0.274,0.138,-0.123,0.031,-0.203,-0.106,-0.132,-0.127,328.878,0.006
relax,0.026,0.64,7.711,68.736,4.958,-0.007,0.998,0.58,0.084,0.052,-0.02,-0.098,0.165,0.51,0.097,-0.008,0.536,2.772,0.018
relax,0.169,0.566,6.666,88.031,3.039,0.708,0.432,0.524,0.579,0.012,-0.253,0.013,-0.331,-0.101,-0.262,-0.339,0.106,468.716,-0.045
relax,0.244,0.532,6.237,121.142,2.548,-0.51,0.764,-0.043,0.09,-0.29,0.053,0.252,-0.26,0.131,0.213,0.136,-0.286,1084.9,-0.01
relax,0.06,0.55,8.114,153.513,2.996,0.866,0.333,0.166,0.049,-0.143,0.078,0.239,0.101,-0.096,-0.069,0.065,0.032,72.273,0.148
relax,0.138,0.578,6.464,59.927,2.827,0.391,0.187,0.127,0.091,0.012,0.311,0.085,0.262,-0.058,0.043,0.022,-0.059,290.716,0.108
relax,0.138,0.578,6.464,59.927,2.827,0.391,0.187,0.127,0.091,0.012,0.311,0.085,0.262,-0.058,0.043,0.022,-0.059,290.716,0.108
relax,0.114,0.558,9.05,165.005,1.823,0.294,0.62,0.134,0.124,-0.257,-0.101,0.085,0.207,0.043,-0.166,0.124,0.168,369.295,0.273
relax,0.186,0.559,7.668,115.097,2.5,1.46,0.714,0.061,0.502,0.068,-0.296,-0.142,0.104,-0.417,0.122,-0.142,-0.014,658.714,0.127
relax,0.133,0.486,9.919,112.281,1.898,0.682,0.7,0.675,0.339,0.105,0.077,0.225,0.103,0.018,0.112,0.176,0.011,501.195,0.315
relax,0.204,0.494,9.673,165.821,2.285,0.56,0.977,-0.002,0.137,-0.002,0.101,-0.005,-0.066,-0.066,0.022,0.141,0.084,900.87,0.155
relax,0.06,0.512,8.525,135.834,2.419,0.722,0.805,0.563,0.607,0.225,0.16,0.106,-0.057,-0.144,0.002,-0.182,-0.016,93.563,0.072
relax,0.041,0.541,6.149,109.215,2.961,0.9,0.169,0.417,0.178,0.179,0.393,0.079,-0.13,-0.285,-0.148,0.132,0.246,34.631,0.515
relax,0.142,0.545,6.69,133.558,2.352,-0.307,0.326,0.148,0.33,0.199,-0.025,-0.125,-0.006,-0.022,0.102,0.047,0.097,609.163,0.092
relax,0.152,0.489,6.892,102.213,3.942,0.563,0.5,-0.035,0.448,0.05,0.076,-0.008,-0.15,0.044,0.058,0.021,0.117,668.923,0.251
relax,0.081,0.562,7.025,167.535,2.854,1.02,0.868,0.369,0.345,0.072,0.019,0.093,0.104,0.2,0.018,0.085,0.266,120.26,0.073
relax,0.08,0.558,6.424,129.39,3.653,0.138,0.457,-0.629,-0.29,-0.259,-0.089,0.297,0.453,0.346,0.146,0.127,0.079,126.695,0.249
relax,0.077,0.605,9.572,123.1,2.496,-0.45,0.079,0.578,0.379,0.347,0.026,-0.005,0.277,0.182,0.013,0.14,-0.106,95.713,0.296
relax,0.278,0.568,7.245,125.846,2.532,0.675,0.805,0.262,0.484,0.253,0.136,0.007,0.123,0.157,-0.027,-0.08,-0.069,2164.934,0.279
relax,0.054,0.531,8.957,167.598,2.505,0.739,0.744,0.176,0.441,0.359,0.282,0.228,0.189,0.214,0.054,0.151,0.069,74.391,-0.075
relax,0.031,0.64,6.341,109.36,1.726,0.468,0.631,0.487,0.514,0.489,0.073,0.197,-0.054,0.203,0.159,0.045,0.196,24.192,0.476
relax,0.055,0.676,6.988,144.101,3.204,0.462,1.059,0.257,0.399,0.491,0.385,0.152,0.03,-0.01,-0.144,0.038,0.075,31.84,0.18
relax,0.084,0.56,8.45,52.81,3.017,0.482,0.686,-0.083,0.368,0.512,-0.01,-0.005,0.012,0.017,0.244,-0.009,0.127,126.163,-0.012
relax,0.066,0.555,7.844,101.544,2.889,0.507,0.937,0.279,0.346,0.387,0.044,0.143,-0.22,0.189,-0.053,-0.066,0.213,89.59,-0.017
relax,0.101,0.526,5.742,98.662,4.46,0.396,0.065,-0.668,-0.277,-0.062,0.343,0.468,0.126,-0.111,0.029,0.188,0.317,225.903,-0.214
relax,0.133,0.522,6.745,113.234,2.58,-0.462,0.566,0.165,0.321,0.111,-0.1,-0.131,0.039,-0.131,0.059,-0.011,0.067,406.58,0.291
relax,0.063,0.662,6.718,87.795,2.121,0.407,0.627,-0.182,0.191,0.01,0.019,0.362,-0.083,-0.074,0.17,0.256,0.095,93.376,0.01
relax,0.101,0.536,17.573,93.378,1.889,0.725,0.977,0.223,0.196,-0.091,0.276,-0.111,-0.074,-0.083,0.044,0.033,-0.01,239.939,0.348
relax,0.033,0.614,6.758,121.423,3.603,0.392,-0.038,0.482,-0.224,-0.022,-0.076,0.264,0.041,0.269,-0.487,-0.286,-0.62,12.209,0.135
relax,0.077,0.639,9.551,83.795,2.879,-0.211,0.603,-0.019,0.183,0.049,-0.345,0.155,0.277,0.137,0.046,-0.171,0.066,67.721,0.162
relax,0.204,0.547,6.579,134.213,3.046,-0.494,0.242,-0.181,0.151,-0.12,-0.04,-0.179,-0.052,-0.005,-0.047,0.251,0.097,818.987,0.084
relax,0.06,0.549,8.454,159.879,3.081,0.809,0.356,0.178,0.062,-0.147,0.067,0.255,0.083,-0.101,-0.073,0.057,0.013,72.538,0.166
relax,0.135,0.473,10.157,112.205,1.832,0.76,0.691,0.669,0.358,0.101,0.076,0.232,0.11,0.022,0.114,0.184,0.018,518.699,0.285
relax,0.079,0.552,6.343,129.334,3.668,0.114,0.463,-0.641,-0.279,-0.258,-0.082,0.3,0.462,0.356,0.158,0.131,0.083,123.462,0.229
relax,0.15,0.567,7.828,52.932,2.611,0.73,0.494,-0.188,0.047,0.142,-0.199,0.153,-0.139,-0.191,-0.262,-0.104,-0.064,440.663,0.217
relax,0.183,0.557,8.738,108.364,3.288,0.174,0.213,0.199,0.111,-0.194,-0.029,-0.076,-0.132,-0.139,-0.028,0.015,0.159,733.194,0.238
relax,0.081,0.557,6.363,166.411,2.39,0.496,0.205,0.025,-0.013,-0.023,-0.025,-0.08,0.056,0.094,0.205,0.055,0.049,169.803,0.52
relax,0.236,0.549,6.706,106.013,2.806,0.512,0.356,0.036,0.422,0.041,0.165,0.129,0.112,0.088,0.083,0.084,0.193,1009.165,0.344
relax,0.146,0.505,7.078,151.635,3.461,-0.116,0.252,-0.087,0.567,0.131,0.116,0.121,-0.351,0.142,-0.034,0.065,-0.181,408.91,-0.128
happy,0.196,0.53,7.854,135.699,2.444,-0.002,0.259,0.123,0.145,0.054,0.018,0.017,-0.074,-0.026,0.083,-0.119,-0.022,687.145,0.007
happy,0.196,0.53,7.854,135.699,2.444,-0.002,0.259,0.123,0.145,0.054,0.018,0.017,-0.074,-0.026,0.083,-0.119,-0.022,687.145,0.007
happy,0.115,0.549,8.757,107.555,1.935,-0.288,1.134,0.153,0.119,0.02,0.059,0.127,-0.012,0.121,0.158,0.139,0.058,369.749,0.095
happy,0.284,0.621,8.827,98.011,1.494,0.45,0.202,0.201,0.251,-0.044,0.014,0.037,-0.006,0.125,0.23,0.107,0.114,1421.176,-0.052
happy,0.133,0.534,7.576,164.25,1.137,-0.152,0.631,-0.361,0.442,-0.086,-0.041,0.291,-0.147,0.029,0.037,-0.03,0.009,767.316,0.05
happy,0.215,0.573,6.649,130.331,2.316,0.065,0.48,0,0.141,0.068,-0.006,-0.051,0.026,0.137,0.041,0.072,0.031,1041.674,0.236
happy,0.168,0.604,7.628,192.277,1.894,0.215,0.269,0.089,0.1,0.019,-0.001,0.088,0.135,0.206,0.066,-0.077,-0.004,459.201,0.32
happy,0.079,0.533,5.374,102.022,1.509,-0.439,0.612,-0.55,0.156,-0.068,0.082,-0.152,-0.001,0.203,0.096,0.031,0.047,371.021,0.041
happy,0.239,0.497,8.529,105.939,1.795,0.411,0.117,-0.137,0.225,-0.356,0.113,0.016,-0.05,0.111,0.023,0.209,0.033,1998.171,0.135
happy,0.065,0.537,6.709,96.86,1.98,0.156,0.525,-0.075,-0.059,0.079,0.449,0.304,-0.034,-0.095,0.058,-0.193,-0.198,88.295,0.153
happy,0.077,0.552,7.346,189.398,2.332,0.214,0.324,0.19,0.076,0.083,0.183,0.062,0.029,0.061,0.062,-0.007,-0.002,226.424,0.064
happy,0.222,0.565,7.911,101.969,2.051,0.069,0.304,0.034,-0.006,-0.01,-0.106,0.136,-0.088,0.019,0.24,0.153,0.154,1276.603,0.236
happy,0.132,0.537,6.849,193.967,1.509,0.156,-0.071,0.176,0.379,0.075,0.074,-0.109,0.054,0.142,0.15,-0.041,-0.042,539.472,0.171
happy,0.112,0.631,9.247,108.028,1.418,-0.533,0.279,-0.243,0.078,-0.029,-0.036,0.139,0.036,0.136,0.15,0.039,0.012,203.745,-0.044
happy,0.108,0.573,6.77,79.967,2.263,-0.564,0.622,0.073,0.252,0.026,0.009,-0.103,-0.047,-0.034,0.03,0.033,0.058,389.512,0.006
happy,0.167,0.582,7.888,189.594,2.189,0.42,0.44,0.148,0.54,0.215,-0.003,0.004,0.05,0.128,-0.033,0.116,0.183,781.934,-0.236
happy,0.168,0.473,6.334,94.38,2.127,0.42,0.953,0.282,0.286,0.204,-0.407,0.096,-0.213,-0.194,0.039,0.088,0.22,404.469,0.007
happy,0.151,0.578,7.055,144.526,2.056,-0.1,0.442,-0.121,0.085,-0.271,0.398,0.105,-0.062,-0.067,0.085,0.044,-0.332,395.602,0.062
happy,0.25,0.629,10.962,117.015,2.292,-0.017,-0.082,0.361,-0.065,-0.093,0.128,0.168,-0.144,-0.055,-0.047,-0.113,-0.033,761.875,-0.079
happy,0.117,0.561,6.039,150.534,1.974,0.514,0.462,0.068,0.181,0.022,-0.089,0.084,-0.066,0.237,0.181,-0.018,-0.04,406.817,0.087
happy,0.108,0.48,5.592,147.388,1.756,-1.048,1.026,-0.697,0.161,0.133,-0.069,-0.015,0.341,-0.041,0.131,0.059,0.111,634.23,0
happy,0.065,0.537,6.668,122.192,1.92,-0.41,0.415,-0.102,0.255,-0.053,-0.146,-0.202,-0.213,-0.233,0.025,0.252,0.277,122.245,0.056
happy,0.086,0.614,7.241,133.204,1.075,-0.089,0.415,0.163,0.374,0.073,0.088,-0.118,-0.02,0.042,0.01,0.049,0.058,416.606,0.101
happy,0.155,0.481,7.382,102.87,1.231,-0.166,0.58,-0.287,0.386,-0.157,0.032,0.158,-0.139,0.081,0.011,-0.019,-0.022,1639.517,-0.304
happy,0.282,0.517,5.832,146.351,1.78,-0.17,0.253,-0.074,-0.099,-0.079,-0.141,0.081,0.101,0.044,-0.132,-0.066,-0.082,3236.05,-0.264
happy,0.21,0.566,6.75,165.889,2.45,-0.262,0.641,-0.182,0.138,-0.078,0.137,0.147,-0.108,0.065,-0.196,-0.386,-0.084,830.228,0.282
happy,0.173,0.612,7.864,98.875,2.575,-0.022,0.303,0.198,0.193,0.032,-0.064,0.035,0.156,0.23,0.166,0.073,0.111,461.348,0.35
happy,0.27,0.455,8.767,122.054,2.558,0.491,0.913,0.234,-0.011,-0.173,0.062,-0.005,-0.124,-0.25,0.208,-0.067,0.059,1416.836,-0.057
happy,0.136,0.623,7.027,127.447,1.418,-0.32,0.248,-0.034,0.244,0.087,0.157,0.316,-0.037,0.005,-0.002,-0.012,0.095,891.42,0.001
happy,0.162,0.532,6.451,107.845,1.571,0.073,0.354,0.074,0.069,-0.138,-0.054,0.033,-0.093,0.131,0.148,0.129,0.112,854.994,0.135
happy,0.065,0.512,17.32,187.701,3.364,-0.87,1.301,-0.052,-0.069,0.359,-0.07,0.728,-0.573,0.407,-0.366,-0.125,-0.058,115.269,-0.102
happy,0.09,0.541,7.73,128.829,2.484,-0.537,0.435,0.123,0.244,0.013,-0.024,-0.168,-0.019,0.118,0.079,0.111,0.038,247.138,0.146
happy,0.122,0.534,6.952,116.554,1.282,-0.253,0.266,-0.072,0.235,-0.144,0.194,0.334,-0.009,-0.018,-0.122,-0.137,0.007,1056.306,0.268
happy,0.084,0.598,7.982,140.412,1.317,-0.203,0.347,0.078,0.322,0.038,0.165,0.025,0.048,0.051,0.078,-0.008,0.054,369.771,-0.048
happy,0.106,0.571,7.245,131.417,1.548,-0.375,0.633,-0.27,0.383,0.044,-0.067,0.277,-0.113,0.17,0.049,-0.048,0.081,444.239,-0.047
happy,0.078,0.614,6.699,106.611,1.384,0.109,0.34,-0.284,0.254,-0.123,0.09,-0.005,-0.092,0.174,0.255,-0.054,0.316,148.774,0.12
happy,0.11,0.449,16.172,51.957,1.995,-0.384,0.104,0.128,0.453,0.14,0.232,-0.117,-0.191,-0.2,-0.257,-0.122,-0.215,319.039,-0.449
happy,0.149,0.564,7.667,132.088,1.86,0.651,0.5,0.004,0.143,-0.185,-0.032,0.09,0.143,0.082,0.106,0.037,-0.043,400.77,0.042
happy,0.121,0.565,9.218,127.716,1.704,-0.016,0.417,0.091,0.157,-0.144,-0.12,0.033,-0.066,0.235,0.022,0.009,0.009,511.221,-0.114
happy,0.071,0.502,5.093,132.226,1.661,-0.269,0.503,-0.277,-0.033,-0.275,0.21,0.007,-0.059,-0.077,-0.044,-0.257,-0.361,220.082,0.139
happy,0.289,0.482,7.332,139.981,2.413,0.299,0.018,-0.428,0.224,0.083,-0.095,0.097,0.06,0.268,0.227,0.125,0.14,1281.621,-0.028
happy,0.258,0.594,9.083,123.99,1.362,0.207,0.364,0.123,0.052,-0.024,-0.001,0.161,0.156,0.082,0.027,-0.002,-0.088,1342.015,-0.201
happy,0.088,0.505,8.885,61.403,1.986,0.458,0.476,0.052,0.13,-0.169,-0.144,0.015,-0.074,-0.119,-0.104,0.065,-0.175,147.69,0.082
happy,0.169,0.527,8.209,103.281,2.075,0.241,0.363,0.191,0.051,0.042,-0.005,0.161,0.106,-0.063,0.084,0.014,0.014,1005.287,0.14
happy,0.107,0.607,6.177,100.29,1.505,0.031,0.406,0.274,0.229,0.206,0.039,-0.088,0.003,0.005,0.066,0.11,0.134,421.881,0.006
happy,0.106,0.53,7.375,125.978,2.182,-0.136,0.435,-0.008,0.326,0.011,-0.074,-0.003,-0.079,-0.017,-0.042,-0.148,-0.05,274.732,0.185
happy,0.139,0.702,5.776,146.969,1.824,0.193,-0.05,0.397,0.019,0.143,0.16,0.354,0.279,0.042,0.121,0.094,0.126,315.597,0.083
happy,0.183,0.547,6.09,133.848,2.062,-0.671,0.223,-0.13,0.112,-0.089,-0.025,0.067,0.094,0.176,-0.007,-0.101,0.011,1154.732,0.142
happy,0.211,0.573,8.662,129.953,1.628,0.482,0.226,-0.036,-0.117,-0.115,0.003,0.066,0.008,-0.02,-0.05,0.014,-0.063,682.893,-0.184
happy,0.067,0.503,5.682,127.108,0.658,0.446,0.429,-0.018,0.128,-0.194,0.335,0.096,0.355,0.176,0.11,0.118,-0.007,274.847,-0.195
happy,0.098,0.569,7.507,87.626,2.459,-0.586,0.434,0.142,0.227,0.013,-0.087,-0.106,-0.182,0.003,-0.019,-0.106,-0.104,277.225,0.068
happy,0.119,0.573,7.217,119.044,2.289,-0.79,0.62,0.205,-0.007,-0.252,-0.19,-0.163,-0.02,0.167,-0.015,0.09,0.228,372.237,0.244
happy,0.146,0.54,7.736,183.271,2.045,-0.137,0.34,0.022,0.128,0.024,0.135,0.028,0.208,0.136,0.186,-0.072,0.028,484.149,0.066
happy,0.125,0.519,7.091,114.608,1.321,-0.336,0.529,-0.233,0.407,-0.062,0.022,0.23,-0.117,-0.103,-0.033,-0.209,-0.005,787.298,0.292
happy,0.037,0.527,7.515,152.178,1.908,-0.213,0.217,0.041,0.246,-0.012,0.011,-0.115,-0.023,-0.096,0.231,0.077,0.142,38.261,0.108
happy,0.098,0.578,6.436,126.436,2.28,0.31,0.258,-0.026,0.033,-0.039,-0.013,-0.009,0.225,0.033,0.226,0.069,0.083,245.307,0.205
happy,0.157,0.539,6.693,100.931,2.514,0.339,0.142,-0.241,0.071,0.596,0.3,-0.02,-0.167,-0.179,0.087,0.099,0.155,548.053,0.054
happy,0.148,0.563,5.753,126.104,1.422,0.239,0.343,0.216,0.165,0.092,0.082,0.022,0.069,0.064,0.102,0.056,0.111,848.058,0.112
happy,0.213,0.489,6.601,99.928,1.958,0.373,0.259,-0.185,0.202,0.244,0.089,0.053,-0.009,-0.1,0.066,0.09,-0.082,1255.435,0.084
happy,0.089,0.609,5.541,123.717,1.573,-0.276,0.382,-0.191,0.203,-0.164,-0.043,-0.005,0.054,-0.079,0.19,0.161,-0.009,218.001,0.133
happy,0.134,0.504,7.431,101.493,1.718,-0.364,0.269,-0.194,0.028,0.101,-0.142,0.055,-0.196,-0.153,0.043,0.052,0.042,929.317,0.096
happy,0.253,0.512,7.062,118.032,2.507,-0.275,0.263,-0.272,0.139,-0.033,-0.424,-0.194,-0.046,0.133,0.167,0.212,0.234,953.01,0.032
